               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082676,            0.032317,             0.01622,             0.73524,             0.42188,             0.33216,             0.15923,            0.071179,            0.015871,           0.0071136,            0.070252,           0.0033053,           0.0033053
                   1,            0.066082,            0.020237,           0.0080255,             0.43702,             0.65104,             0.57776,             0.20553,            0.064626,            0.013285,           0.0051643,             0.04023,           0.0066167,           0.0066167
                   2,            0.060039,            0.016192,           0.0071033,             0.54713,             0.74952,             0.61462,             0.32498,            0.051766,             0.01236,           0.0049911,            0.010186,           0.0099062,           0.0099062
                   3,            0.050699,            0.014104,           0.0063223,             0.81491,             0.88914,             0.87259,             0.57533,            0.035701,            0.010826,           0.0044525,            0.009901,            0.009901,            0.009901
                   4,            0.043154,            0.012475,           0.0056752,             0.80034,             0.91295,             0.83646,             0.50723,            0.037327,            0.011604,            0.003957,            0.009901,            0.009901,            0.009901
                   5,            0.039519,            0.012252,           0.0053705,             0.78295,             0.96057,             0.82954,             0.51261,            0.029372,            0.011263,           0.0036873,            0.009868,            0.009868,            0.009868
                   6,            0.036186,            0.011575,            0.004797,             0.92737,             0.91295,             0.92303,             0.58541,            0.031967,            0.010218,            0.003466,            0.009835,            0.009835,            0.009835
                   7,            0.034142,            0.011432,           0.0047655,             0.86091,             0.88914,             0.91045,              0.6599,            0.027717,            0.010586,           0.0032463,            0.009802,            0.009802,            0.009802
                   8,            0.032864,            0.010916,           0.0046666,             0.82208,             0.96057,             0.88366,             0.58621,            0.028193,            0.010286,           0.0030384,            0.009769,            0.009769,            0.009769
                   9,            0.031588,            0.010465,           0.0045701,             0.84144,             0.96057,             0.89726,             0.65883,             0.02832,            0.010836,           0.0032906,            0.009736,            0.009736,            0.009736
                  10,            0.031235,            0.010234,           0.0044667,             0.84846,              0.9143,             0.89379,             0.67274,            0.024612,            0.011471,           0.0033791,            0.009703,            0.009703,            0.009703
                  11,            0.030064,            0.010605,           0.0042773,             0.82275,             0.93676,             0.87904,             0.61231,            0.027066,             0.01046,           0.0029869,             0.00967,             0.00967,             0.00967
                  12,            0.029501,            0.010171,           0.0043464,             0.87158,             0.93676,              0.8988,             0.71021,            0.022556,           0.0099354,            0.002916,            0.009637,            0.009637,            0.009637
                  13,            0.028299,            0.010015,            0.004111,             0.85458,             0.93676,             0.89762,             0.71349,            0.021003,           0.0093594,           0.0031818,            0.009604,            0.009604,            0.009604
                  14,            0.027671,           0.0098339,           0.0041733,             0.90501,             0.90351,             0.90937,              0.6566,            0.024216,            0.010221,           0.0030022,            0.009571,            0.009571,            0.009571
                  15,            0.027524,           0.0098403,           0.0038578,             0.86436,             0.93676,             0.91984,             0.77048,             0.01943,             0.01008,           0.0027676,            0.009538,            0.009538,            0.009538
                  16,            0.026169,           0.0097323,           0.0038528,             0.88631,             0.93676,             0.91467,             0.75556,            0.020269,            0.010267,           0.0025986,            0.009505,            0.009505,            0.009505
                  17,            0.026156,            0.009658,           0.0040658,             0.84486,             0.93844,             0.91075,               0.763,            0.017833,           0.0098305,           0.0025372,            0.009472,            0.009472,            0.009472
                  18,            0.025824,            0.009537,           0.0039434,             0.88615,             0.90505,              0.9151,             0.76804,            0.018674,           0.0095444,           0.0025208,            0.009439,            0.009439,            0.009439
                  19,            0.025909,           0.0094396,           0.0038188,             0.83755,             0.96057,             0.90164,             0.73208,            0.019174,           0.0099735,           0.0023739,            0.009406,            0.009406,            0.009406
                  20,            0.025598,           0.0097233,           0.0037128,             0.87043,             0.93676,             0.91586,             0.75343,            0.019677,           0.0091801,           0.0023743,            0.009373,            0.009373,            0.009373
                  21,            0.024484,           0.0091471,           0.0037528,             0.90042,             0.91295,             0.91334,             0.73713,            0.019003,           0.0097504,           0.0035503,             0.00934,             0.00934,             0.00934
                  22,            0.024106,           0.0092785,           0.0036811,             0.83914,             0.96057,             0.90148,             0.74474,            0.018178,           0.0098667,            0.002652,            0.009307,            0.009307,            0.009307
                  23,            0.024291,           0.0090286,           0.0035306,             0.87631,             0.94282,             0.92258,             0.73699,            0.018661,           0.0095482,            0.002277,            0.009274,            0.009274,            0.009274
                  24,            0.024335,           0.0091188,            0.003719,             0.85878,             0.93676,             0.90901,             0.74868,            0.017669,              0.0098,           0.0021803,            0.009241,            0.009241,            0.009241
                  25,            0.024041,           0.0087187,           0.0036735,             0.86901,             0.93676,             0.92226,             0.75882,            0.017914,           0.0088959,           0.0020868,            0.009208,            0.009208,            0.009208
                  26,            0.023514,           0.0089394,           0.0036396,             0.84892,             0.93676,             0.90846,              0.7556,            0.016643,           0.0096264,           0.0022739,            0.009175,            0.009175,            0.009175
